key,press_time,release_time,dwell_time,flight_time
s,0.0,59.26,59.26,0.0
e,169.35,240.42,71.07,110.08
c,333.73,411.21,77.48,93.31
u,485.13,555.69,70.57,73.92
r,660.78,727.19,66.41,105.09
e,793.22,867.98,74.76,66.04
p,945.24,1028.87,83.63,77.25
a,1127.71,1191.24,63.53,98.84
s,1269.19,1326.34,57.15,77.95
s,1401.69,1482.71,81.02,75.36
w,1570.35,1644.36,74.01,87.64
o,1702.88,1755.91,53.03,58.52
r,1858.92,1921.72,62.8,103.01
d,1999.39,2051.18,51.79,77.67
1,2130.84,2176.63,45.79,79.66
2,2305.08,2375.44,70.36,128.45
3,2442.75,2527.18,84.43,67.32
