key,press_time,release_time,dwell_time,flight_time
s,0.0,76.67,76.67,0.0
e,177.82,276.85,99.04,101.15
c,366.44,444.49,78.06,89.58
u,531.9,611.42,79.52,87.4
r,708.96,792.54,83.58,97.54
e,843.61,953.76,110.15,51.07
p,1057.72,1163.47,105.75,103.95
a,1216.31,1312.89,96.58,52.84
s,1404.71,1492.59,87.88,91.82
s,1608.54,1692.29,83.75,115.95
w,1750.75,1835.25,84.51,58.46
o,1919.62,2040.78,121.16,84.37
r,2152.54,2251.95,99.41,111.75
d,2336.64,2383.37,46.73,84.69
1,2454.93,2568.85,113.91,71.56
2,2693.88,2777.52,83.64,125.04
3,2858.63,2948.77,90.15,81.1
