key,press_time,release_time,dwell_time,flight_time
s,0.0,260.97,260.97,0.0
e,397.91,572.0,174.09,136.93
c,778.44,1028.98,250.55,206.43
u,1184.15,1367.83,183.67,155.17
r,1641.36,1850.09,208.73,273.53
e,2037.72,2292.1,254.38,187.63
p,2461.54,2750.45,288.91,169.44
a,2843.17,3015.39,172.22,92.72
s,3128.23,3274.65,146.42,112.84
s,3480.3,3647.19,166.88,205.65
w,3831.41,4013.4,181.98,184.23
o,4181.17,4376.51,195.34,167.77
r,4550.05,4657.44,107.39,173.54
d,4843.75,5007.68,163.93,186.31
1,5176.14,5424.75,248.61,168.46
2,5608.93,5789.96,181.03,184.18
3,5839.11,6043.94,204.83,49.14
