key,press_time,release_time,dwell_time,flight_time
s,0.0,76.43,76.43,0.0
e,157.7,227.6,69.9,81.28
c,287.66,371.87,84.21,60.06
u,449.29,533.19,83.89,77.43
r,647.13,746.22,99.1,113.94
e,813.56,882.22,68.67,67.34
p,969.38,1041.36,71.98,87.15
a,1118.47,1200.28,81.81,77.11
s,1258.93,1315.27,56.34,58.65
s,1382.38,1458.14,75.76,67.11
w,1534.7,1592.27,57.56,76.57
o,1651.07,1728.78,77.71,58.8
r,1783.53,1848.16,64.63,54.75
d,1939.49,2011.77,72.28,91.33
1,2112.66,2200.83,88.18,100.89
2,2317.01,2405.77,88.76,116.18
3,2531.72,2609.99,78.27,125.95
