key,press_time,release_time,dwell_time,flight_time
s,0.0,223.68,223.68,0.0
e,449.73,725.28,275.55,226.05
c,807.6,895.08,87.48,82.32
u,1072.55,1232.74,160.2,177.47
r,1467.03,1616.43,149.4,234.29
e,1710.5,1884.63,174.13,94.07
p,2064.14,2203.62,139.48,179.51
a,2295.55,2392.24,96.69,91.93
s,2437.98,2584.87,146.89,45.74
s,2742.46,2926.02,183.56,157.59
w,3042.29,3136.51,94.23,116.26
o,3209.11,3249.11,40.0,72.6
r,3335.67,3375.67,40.0,86.56
d,3471.45,3624.79,153.34,95.78
1,3759.57,3945.83,186.26,134.78
2,4058.97,4272.94,213.98,113.13
3,4488.71,4605.04,116.33,215.77
