key,press_time,release_time,dwell_time,flight_time
s,0.0,107.3,107.3,0.0
e,168.87,265.53,96.66,61.58
c,379.49,447.11,67.62,113.96
u,541.22,653.38,112.16,94.11
r,732.3,828.55,96.25,78.92
e,945.94,1028.49,82.55,117.39
p,1170.16,1287.08,116.92,141.67
a,1398.03,1499.91,101.89,110.94
s,1628.26,1718.64,90.37,128.35
s,1852.87,1913.57,60.7,134.23
w,1967.16,2068.53,101.36,53.59
o,2146.9,2275.68,128.79,78.37
r,2390.65,2478.12,87.47,114.97
d,2572.8,2669.57,96.78,94.68
1,2771.97,2879.67,107.7,102.39
2,2975.01,3078.64,103.63,95.34
3,3190.3,3330.51,140.2,111.66
