key,press_time,release_time,dwell_time,flight_time
s,0.0,136.83,136.83,0.0
e,242.11,435.63,193.52,105.28
c,546.65,736.06,189.41,111.02
u,881.28,1089.3,208.01,145.23
r,1201.05,1406.11,205.05,111.76
e,1594.38,1749.81,155.43,188.27
p,1900.07,2128.19,228.12,150.26
a,2216.82,2379.59,162.77,88.63
s,2468.45,2640.97,172.52,88.86
s,2813.86,2956.32,142.46,172.9
w,3061.72,3253.83,192.1,105.4
o,3443.66,3639.12,195.47,189.83
r,3689.23,3873.2,183.97,50.11
d,4005.47,4211.5,206.02,132.27
1,4390.06,4654.62,264.55,178.57
2,4787.23,4954.91,167.69,132.61
3,5100.93,5318.41,217.48,146.02
